experiment,variant,seed,n_samples,corruption,final_loss,best_token_accuracy,elapsed_ms
baseline,standard_decoder_only,0,64,0.0,17.484556198120117,0.03750000149011612,130.69065199852048
baseline,standard_decoder_only,1,64,0.0,15.153735160827637,0.03437500074505806,120.43747100142355
baseline,standard_decoder_only,2,64,0.0,15.59641170501709,0.03229166567325592,106.82862400062731
baseline,standard_decoder_only,3,64,0.0,19.174724578857422,0.03750000149011612,105.91012100121588
baseline,standard_decoder_only,4,64,0.0,17.04189682006836,0.02916666679084301,102.13244700025825
baseline,transformed_conv_decoder_only,0,64,0.0,14.479884147644043,0.03541666641831398,276.65449300002365
baseline,transformed_conv_decoder_only,1,64,0.0,13.194375038146973,0.0364583320915699,264.6487999991223
baseline,transformed_conv_decoder_only,2,64,0.0,12.417933464050293,0.03541666641831398,300.5263430004561
baseline,transformed_conv_decoder_only,3,64,0.0,15.049090385437012,0.03541666641831398,279.1800710001553
baseline,transformed_conv_decoder_only,4,64,0.0,14.058547019958496,0.0416666679084301,262.1515319988248
low_data,standard_decoder_only,0,16,0.0,17.247114181518555,0.02916666679084301,57.35943200124893
low_data,standard_decoder_only,1,16,0.0,14.217703819274902,0.05833333358168602,54.04178100070567
low_data,standard_decoder_only,2,16,0.0,15.506722450256348,0.05000000074505806,49.72184500002186
low_data,standard_decoder_only,3,16,0.0,19.05026626586914,0.0416666679084301,51.724069999181665
low_data,standard_decoder_only,4,16,0.0,16.293699264526367,0.03333333507180214,55.752730999302
low_data,transformed_conv_decoder_only,0,16,0.0,14.86476993560791,0.0416666679084301,112.3355250001623
low_data,transformed_conv_decoder_only,1,16,0.0,12.861532211303711,0.05833333358168602,114.67009600164602
low_data,transformed_conv_decoder_only,2,16,0.0,12.424808502197266,0.05416666716337204,118.32601800051634
low_data,transformed_conv_decoder_only,3,16,0.0,14.387985229492188,0.05000000074505806,109.52995700063184
low_data,transformed_conv_decoder_only,4,16,0.0,13.851835250854492,0.0416666679084301,113.19757099954586
low_data,standard_decoder_only,0,32,0.0,17.498565673828125,0.03333333507180214,65.45699700109253
low_data,standard_decoder_only,1,32,0.0,14.71273422241211,0.03333333507180214,66.76223499925982
low_data,standard_decoder_only,2,32,0.0,14.979132652282715,0.03958333283662796,66.61904400061758
low_data,standard_decoder_only,3,32,0.0,19.739408493041992,0.0416666679084301,66.7129700013902
low_data,standard_decoder_only,4,32,0.0,16.89196014404297,0.04374999925494194,64.93840899929637
low_data,transformed_conv_decoder_only,0,32,0.0,14.02149486541748,0.03958333283662796,143.43493500018667
low_data,transformed_conv_decoder_only,1,32,0.0,12.866378784179688,0.03333333507180214,156.94349200020952
low_data,transformed_conv_decoder_only,2,32,0.0,12.377238273620605,0.03541666641831398,134.54161200024828
low_data,transformed_conv_decoder_only,3,32,0.0,14.648067474365234,0.02916666679084301,143.1022529995971
low_data,transformed_conv_decoder_only,4,32,0.0,14.260919570922852,0.02291666716337204,149.8757259996637
low_data,standard_decoder_only,0,64,0.0,17.484556198120117,0.03750000149011612,95.81198299929383
low_data,standard_decoder_only,1,64,0.0,15.153735160827637,0.03437500074505806,88.26783099902968
low_data,standard_decoder_only,2,64,0.0,15.59641170501709,0.03229166567325592,92.08345700062637
low_data,standard_decoder_only,3,64,0.0,19.174724578857422,0.03750000149011612,91.12694199939142
low_data,standard_decoder_only,4,64,0.0,17.04189682006836,0.02916666679084301,98.90522299974691
low_data,transformed_conv_decoder_only,0,64,0.0,14.479884147644043,0.03541666641831398,241.81050100014545
low_data,transformed_conv_decoder_only,1,64,0.0,13.194375038146973,0.0364583320915699,223.43647200068517
low_data,transformed_conv_decoder_only,2,64,0.0,12.417933464050293,0.03541666641831398,209.58247699854837
low_data,transformed_conv_decoder_only,3,64,0.0,15.049090385437012,0.03541666641831398,213.32683699984045
low_data,transformed_conv_decoder_only,4,64,0.0,14.058547019958496,0.0416666679084301,234.6316229995864
low_data,standard_decoder_only,0,128,0.0,17.362688064575195,0.03177083283662796,172.98277800000506
low_data,standard_decoder_only,1,128,0.0,15.12522029876709,0.02916666679084301,175.89315500117664
low_data,standard_decoder_only,2,128,0.0,15.383550643920898,0.03072916716337204,183.40392299978703
low_data,standard_decoder_only,3,128,0.0,19.878875732421875,0.03281249850988388,179.4088520000514
low_data,standard_decoder_only,4,128,0.0,17.105497360229492,0.03802083432674408,182.39952900148637
low_data,transformed_conv_decoder_only,0,128,0.0,14.411824226379395,0.03489583358168602,404.9336480002239
low_data,transformed_conv_decoder_only,1,128,0.0,13.126431465148926,0.03958333283662796,426.9254360006016
low_data,transformed_conv_decoder_only,2,128,0.0,12.53719711303711,0.02968749962747097,438.82079600007273
low_data,transformed_conv_decoder_only,3,128,0.0,14.962447166442871,0.0338541679084301,433.45465099992
low_data,transformed_conv_decoder_only,4,128,0.0,14.060507774353027,0.03489583358168602,425.16800299927127
corruption,standard_decoder_only,0,64,0.0,17.484556198120117,0.03750000149011612,109.57521599993925
corruption,standard_decoder_only,1,64,0.0,15.153735160827637,0.03437500074505806,108.15570299928368
corruption,standard_decoder_only,2,64,0.0,15.59641170501709,0.03229166567325592,99.00249400016037
corruption,standard_decoder_only,3,64,0.0,19.174724578857422,0.03750000149011612,104.6919420004997
corruption,standard_decoder_only,4,64,0.0,17.04189682006836,0.02916666679084301,101.3889920013753
corruption,transformed_conv_decoder_only,0,64,0.0,14.479884147644043,0.03541666641831398,247.48315200122306
corruption,transformed_conv_decoder_only,1,64,0.0,13.194375038146973,0.0364583320915699,217.09599499990873
corruption,transformed_conv_decoder_only,2,64,0.0,12.417933464050293,0.03541666641831398,222.66361299989512
corruption,transformed_conv_decoder_only,3,64,0.0,15.049090385437012,0.03541666641831398,237.36316800022905
corruption,transformed_conv_decoder_only,4,64,0.0,14.058547019958496,0.0416666679084301,239.19222800032003
corruption,standard_decoder_only,0,64,0.1,17.716218948364258,0.03229166567325592,95.56565800085082
corruption,standard_decoder_only,1,64,0.1,15.246733665466309,0.0364583320915699,104.40292399835016
corruption,standard_decoder_only,2,64,0.1,15.495345115661621,0.03854166716337204,97.91493500051729
corruption,standard_decoder_only,3,64,0.1,19.06556510925293,0.03854166716337204,101.05279100025655
corruption,standard_decoder_only,4,64,0.1,17.11062240600586,0.03750000149011612,105.88506900057837
corruption,transformed_conv_decoder_only,0,64,0.1,14.29901123046875,0.03750000149011612,258.7088540003606
corruption,transformed_conv_decoder_only,1,64,0.1,13.279434204101562,0.03958333283662796,234.01393399944936
corruption,transformed_conv_decoder_only,2,64,0.1,12.568216323852539,0.03229166567325592,218.58559899919783
corruption,transformed_conv_decoder_only,3,64,0.1,14.925925254821777,0.0364583320915699,211.00969200051622
corruption,transformed_conv_decoder_only,4,64,0.1,13.80577278137207,0.04270833358168602,211.02375200098322
corruption,standard_decoder_only,0,64,0.2,17.777109146118164,0.02812499925494194,97.07986900139076
corruption,standard_decoder_only,1,64,0.2,15.313016891479492,0.03229166567325592,97.7644220001821
corruption,standard_decoder_only,2,64,0.2,15.39176082611084,0.046875,93.3185970006889
corruption,standard_decoder_only,3,64,0.2,18.90837287902832,0.04062499850988388,96.80933500021638
corruption,standard_decoder_only,4,64,0.2,17.095796585083008,0.03020833246409893,93.34583600139013
corruption,transformed_conv_decoder_only,0,64,0.2,14.242517471313477,0.03958333283662796,231.46193600041443
corruption,transformed_conv_decoder_only,1,64,0.2,13.25610637664795,0.04374999925494194,235.81916500006628
corruption,transformed_conv_decoder_only,2,64,0.2,12.418832778930664,0.0364583320915699,232.9515450001054
corruption,transformed_conv_decoder_only,3,64,0.2,14.998919486999512,0.03229166567325592,228.92908100038767
corruption,transformed_conv_decoder_only,4,64,0.2,13.826457023620605,0.03854166716337204,202.13061800131982
corruption,standard_decoder_only,0,64,0.3,17.788606643676758,0.02708333358168602,96.33672199925059
corruption,standard_decoder_only,1,64,0.3,15.285523414611816,0.03437500074505806,97.12180499991518
corruption,standard_decoder_only,2,64,0.3,15.454174041748047,0.0416666679084301,100.00924800078792
corruption,standard_decoder_only,3,64,0.3,19.19614601135254,0.03333333507180214,101.35974099830491
corruption,standard_decoder_only,4,64,0.3,17.018367767333984,0.03437500074505806,89.62242699999479
corruption,transformed_conv_decoder_only,0,64,0.3,14.140944480895996,0.04270833358168602,234.11332199975732
corruption,transformed_conv_decoder_only,1,64,0.3,13.204538345336914,0.04583333432674408,215.60331199907523
corruption,transformed_conv_decoder_only,2,64,0.3,12.49791145324707,0.03437500074505806,250.59138300093764
corruption,transformed_conv_decoder_only,3,64,0.3,14.987411499023438,0.03333333507180214,253.52528800067375
corruption,transformed_conv_decoder_only,4,64,0.3,14.045196533203125,0.02916666679084301,241.91082300058042
