seed,attention_type,final_loss,best_loss,final_acc,best_acc,elapsed_ms,attn_mean,attn_std,noise_prob,layer_0_q_gate,layer_0_k_gate,layer_0_v_gate
0,standard,0.668372392654419,0.668372392654419,0.5625,0.5625,70.60494799998196,0.0625,0.017292123287916183,0.0,,,
1,standard,0.6288800239562988,0.625679612159729,0.65625,0.765625,65.55280799966567,0.0625,0.01815955340862274,0.0,,,
2,standard,0.6408944725990295,0.6408944725990295,0.59375,0.59375,56.03662500016071,0.0625,0.01653633452951908,0.0,,,
3,standard,0.5472111701965332,0.5472111701965332,0.8125,0.8125,67.41077200013024,0.0625,0.018704602494835854,0.0,,,
4,standard,0.6415329575538635,0.6415329575538635,0.6875,0.6875,58.686402999683196,0.0624999925494194,0.017603298649191856,0.0,,,
0,transformed_conv,0.6004559993743896,0.5931118130683899,0.796875,0.796875,154.17055400030222,0.0625,0.058886658400297165,0.0,0.003833356313407421,-0.0015041178558021784,-0.007943854667246342
1,transformed_conv,0.5949877500534058,0.5949877500534058,0.75,0.75,118.84090500007005,0.0625,0.05740141496062279,0.0,0.002955008065328002,-0.004694976378232241,-0.0008813784806989133
2,transformed_conv,0.560643196105957,0.560643196105957,0.84375,0.84375,124.61031299972092,0.0625,0.05327144265174866,0.0,0.002717026509344578,-0.006181180011481047,-0.002225725445896387
3,transformed_conv,0.5674388408660889,0.5674388408660889,0.78125,0.859375,140.88136500004111,0.0625,0.06610559672117233,0.0,0.006309562362730503,-0.0067099398002028465,-0.0004617675731424242
4,transformed_conv,0.6282072067260742,0.6282072067260742,0.71875,0.734375,133.3593370000017,0.0625,0.05428275093436241,0.0,-0.0029517451766878366,-0.003664938732981682,0.0011092780623584986
0,standard,0.6589915156364441,0.6589915156364441,0.703125,0.703125,51.849896000021545,0.0625,0.01797640323638916,0.1,,,
1,standard,0.6216926574707031,0.6216926574707031,0.6875,0.703125,51.24527799989664,0.0625,0.017605988308787346,0.1,,,
2,standard,0.6514391303062439,0.6204199194908142,0.53125,0.71875,51.90404800032411,0.0624999925494194,0.016534244641661644,0.1,,,
3,standard,0.5427048802375793,0.5427048802375793,0.796875,0.796875,50.919951000196306,0.0625,0.018967298790812492,0.1,,,
4,standard,0.5869929194450378,0.5869929194450378,0.8125,0.8125,52.25143799998477,0.0625,0.017598893493413925,0.1,,,
0,transformed_conv,0.5776581168174744,0.5776581168174744,0.828125,0.828125,143.7753159998465,0.0625,0.05759667977690697,0.1,0.001610368024557829,-0.005491245072335005,-0.007524691987782717
1,transformed_conv,0.6236209869384766,0.6236209869384766,0.734375,0.734375,113.94363800036444,0.0625,0.057084571570158005,0.1,0.00230592698790133,0.0016259064432233572,-0.006022704765200615
2,transformed_conv,0.5736656188964844,0.5736656188964844,0.78125,0.8125,129.66130499989958,0.0625,0.051019422709941864,0.1,0.0025770708452910185,-0.004304215312004089,-0.0012087075738236308
3,transformed_conv,0.5862865447998047,0.5862865447998047,0.734375,0.796875,133.6490710000362,0.0625000074505806,0.06375569105148315,0.1,0.006340614520013332,-0.005966807249933481,-0.001994800055399537
4,transformed_conv,0.6246723532676697,0.6246723532676697,0.703125,0.796875,153.64047899993238,0.0625,0.05326496809720993,0.1,0.005245284643024206,-0.0018940811278298497,-0.004653643816709518
0,standard,0.6592419743537903,0.6592419743537903,0.703125,0.703125,56.89507500028412,0.0625,0.0173402838408947,0.2,,,
1,standard,0.62624192237854,0.6255917549133301,0.671875,0.703125,51.35075999987748,0.0625,0.01772470399737358,0.2,,,
2,standard,0.6393154859542847,0.6127960085868835,0.625,0.703125,50.92427099998531,0.0625,0.0161906685680151,0.2,,,
3,standard,0.5628248453140259,0.5628248453140259,0.78125,0.78125,50.600364999809244,0.0625,0.019696524366736412,0.2,,,
4,standard,0.5644285678863525,0.5644285678863525,0.84375,0.84375,53.80250799998976,0.0624999962747097,0.017886893823742867,0.2,,,
0,transformed_conv,0.5904573202133179,0.5904573202133179,0.8125,0.8125,117.47616999991806,0.0625,0.05680439621210098,0.2,0.0004883612273260951,-0.003989492543041706,-0.007299561053514481
1,transformed_conv,0.6311073899269104,0.6311073899269104,0.703125,0.765625,137.87144199977774,0.0625,0.058654941618442535,0.2,0.0005119098350405693,0.0024021053686738014,0.0010023487266153097
2,transformed_conv,0.5938510894775391,0.5938510894775391,0.8125,0.8125,143.69495399978405,0.0625,0.04894354194402695,0.2,-0.0037740080151706934,-0.005851649213582277,-0.0030943709425628185
3,transformed_conv,0.5612128973007202,0.5612128973007202,0.75,0.796875,110.6116609998935,0.0625,0.06452284008264542,0.2,0.0032383366487920284,-0.006685560569167137,-0.0020277053117752075
4,transformed_conv,0.606690526008606,0.606690526008606,0.765625,0.828125,102.45382399989467,0.0625,0.05582119897007942,0.2,0.0023289325181394815,0.00140665122307837,-0.0031269409228116274
0,standard,0.6493585705757141,0.6493585705757141,0.703125,0.703125,61.69019900016792,0.0624999962747097,0.017057904973626137,0.3,,,
1,standard,0.6195586919784546,0.6195586919784546,0.65625,0.71875,55.508674000066094,0.0625,0.01787405274808407,0.3,,,
2,standard,0.6359367370605469,0.6125397086143494,0.609375,0.71875,55.80602300005921,0.0624999962747097,0.015857255086302757,0.3,,,
3,standard,0.5719218850135803,0.5719218850135803,0.75,0.75,57.46836700018321,0.0625,0.019573785364627838,0.3,,,
4,standard,0.5785459280014038,0.5785459280014038,0.765625,0.765625,56.297052999980224,0.0625,0.017743544653058052,0.3,,,
0,transformed_conv,0.6047545075416565,0.6047545075416565,0.84375,0.84375,119.55970700000762,0.0625,0.0561528205871582,0.3,0.006817885674536228,-0.002996620489284396,-0.006756926421076059
1,transformed_conv,0.6172125339508057,0.6172125339508057,0.75,0.765625,109.09701499986113,0.0625,0.06067238003015518,0.3,-0.0001600525574758649,0.001148020732216537,0.008310159668326378
2,transformed_conv,0.6049578189849854,0.6049578189849854,0.78125,0.78125,132.45009699994625,0.0625,0.048776399344205856,0.3,-0.006416784133762121,0.0009924303740262985,-0.00172953843139112
3,transformed_conv,0.5692301392555237,0.5692301392555237,0.796875,0.796875,131.8015510000805,0.0625,0.06129514425992966,0.3,0.007195065263658762,-0.004159207455813885,-0.003525246400386095
4,transformed_conv,0.630110502243042,0.630110502243042,0.75,0.765625,132.6851090002492,0.0625,0.055825695395469666,0.3,-0.0017068048473447561,0.0005195781704969704,-0.0025222627446055412
