seed,model_type,num_layers,final_loss,best_loss,final_token_acc,best_token_acc,elapsed_ms,encoder_attn_mean,cross_attn_mean,noise_prob,dict_gate
0,standard_seq2seq,2,12.528380393981934,12.528380393981934,0.01953125,0.0224609375,307.63345100012884,0.0624999925494194,0.0625,0.0,
1,standard_seq2seq,2,12.04732894897461,12.04732894897461,0.0166015625,0.0166015625,275.06644599998253,0.0625,0.0625000074505806,0.0,
2,standard_seq2seq,2,11.66925048828125,11.66925048828125,0.013671875,0.01953125,260.65489399979924,0.0625,0.0625,0.0,
3,standard_seq2seq,2,13.345211029052734,13.345211029052734,0.0224609375,0.0234375,253.62288499991337,0.0624999925494194,0.0625,0.0,
4,standard_seq2seq,2,11.91790771484375,11.91790771484375,0.0166015625,0.0185546875,256.2824689998706,0.0625,0.0624999962747097,0.0,
0,analysis_synthesis_conv,2,9.942933082580566,9.942933082580566,0.0107421875,0.013671875,726.3869779999368,0.0625,0.0624999962747097,0.0,0.00747623760253191
1,analysis_synthesis_conv,2,9.844874382019043,9.844874382019043,0.015625,0.0205078125,620.2605650000805,0.0625,0.0625,0.0,-0.008682239800691605
2,analysis_synthesis_conv,2,8.713808059692383,8.713808059692383,0.0205078125,0.0263671875,602.3049830000673,0.0625000074505806,0.0625,0.0,0.008773203007876873
3,analysis_synthesis_conv,2,9.492509841918945,9.492509841918945,0.0205078125,0.025390625,610.1743419999366,0.0624999962747097,0.0625,0.0,0.00896457303315401
4,analysis_synthesis_conv,2,10.626996040344238,10.626996040344238,0.017578125,0.0263671875,640.4436689999784,0.0625,0.0625,0.0,0.009017087519168854
0,standard_seq2seq,2,12.569345474243164,12.569345474243164,0.021484375,0.021484375,245.06364099988787,0.0624999962747097,0.0625,0.1,
1,standard_seq2seq,2,11.964442253112793,11.964442253112793,0.015625,0.0166015625,236.9359770000301,0.0625,0.0625,0.1,
2,standard_seq2seq,2,11.64077091217041,11.64077091217041,0.015625,0.021484375,235.21409899967693,0.0625,0.0625,0.1,
3,standard_seq2seq,2,13.275079727172852,13.275079727172852,0.0185546875,0.021484375,233.57923999992636,0.0625,0.0625,0.1,
4,standard_seq2seq,2,11.973617553710938,11.973617553710938,0.0185546875,0.021484375,232.05322900003011,0.0625,0.0625,0.1,
0,analysis_synthesis_conv,2,10.035207748413086,10.035207748413086,0.015625,0.0166015625,621.9575420000183,0.0625,0.0625,0.1,0.007166909519582987
1,analysis_synthesis_conv,2,9.78726577758789,9.78726577758789,0.015625,0.017578125,607.2574089998852,0.0625,0.0625,0.1,-0.008546807803213596
2,analysis_synthesis_conv,2,8.719804763793945,8.719804763793945,0.0185546875,0.0244140625,582.4792190001062,0.0625,0.0625,0.1,0.008644787594676018
3,analysis_synthesis_conv,2,9.484338760375977,9.484338760375977,0.0185546875,0.0224609375,609.6617200000765,0.0625,0.0624999962747097,0.1,0.00896093063056469
4,analysis_synthesis_conv,2,10.536808967590332,10.536808967590332,0.0185546875,0.02734375,631.3086410000324,0.0625,0.0625,0.1,0.009018579497933388
0,standard_seq2seq,2,12.676198959350586,12.676198959350586,0.0185546875,0.0185546875,232.8476679999767,0.0625,0.0625,0.2,
1,standard_seq2seq,2,11.956607818603516,11.956607818603516,0.015625,0.015625,240.6766700000844,0.0625,0.0625,0.2,
2,standard_seq2seq,2,11.779136657714844,11.779136657714844,0.01953125,0.0205078125,238.36459599988302,0.0625,0.0625,0.2,
3,standard_seq2seq,2,13.32669448852539,13.32669448852539,0.0185546875,0.0185546875,246.09035200001017,0.0624999962747097,0.0625,0.2,
4,standard_seq2seq,2,11.904280662536621,11.904280662536621,0.0205078125,0.025390625,244.6500390001347,0.0625,0.0625,0.2,
0,analysis_synthesis_conv,2,10.047832489013672,10.047832489013672,0.0166015625,0.0166015625,673.5725809999167,0.0625,0.0625,0.2,0.006898407358676195
1,analysis_synthesis_conv,2,9.866935729980469,9.866935729980469,0.0166015625,0.0205078125,672.5112789999912,0.0625000074505806,0.0624999962747097,0.2,-0.008447323925793171
2,analysis_synthesis_conv,2,8.763998031616211,8.763998031616211,0.0234375,0.0263671875,645.0022720000561,0.0624999962747097,0.0625,0.2,0.008638975210487843
3,analysis_synthesis_conv,2,9.53065299987793,9.53065299987793,0.0126953125,0.0146484375,656.197714999962,0.0625,0.0625,0.2,0.008971289731562138
4,analysis_synthesis_conv,2,10.58737564086914,10.58737564086914,0.021484375,0.0263671875,656.4454360000127,0.0625,0.0625,0.2,0.009049933403730392
0,standard_seq2seq,2,12.776646614074707,12.776646614074707,0.017578125,0.0205078125,243.9869049999288,0.0625,0.0625,0.3,
1,standard_seq2seq,2,11.982585906982422,11.982585906982422,0.0146484375,0.0146484375,238.91944800016063,0.0625,0.0625000074505806,0.3,
2,standard_seq2seq,2,11.85425090789795,11.85425090789795,0.0166015625,0.0185546875,240.7066579999082,0.0625,0.0625,0.3,
3,standard_seq2seq,2,13.353700637817383,13.353700637817383,0.015625,0.01953125,254.42827999995643,0.0624999962747097,0.0625,0.3,
4,standard_seq2seq,2,11.797858238220215,11.797858238220215,0.0263671875,0.03125,253.65374700004395,0.0625,0.0624999962747097,0.3,
0,analysis_synthesis_conv,2,9.908896446228027,9.908896446228027,0.0244140625,0.0244140625,667.5762469999427,0.0625,0.0625000074505806,0.3,0.006128572393208742
1,analysis_synthesis_conv,2,9.668818473815918,9.668818473815918,0.015625,0.0185546875,745.7887169998685,0.0625000074505806,0.0625,0.3,-0.008369114249944687
2,analysis_synthesis_conv,2,8.689810752868652,8.689810752868652,0.0283203125,0.0283203125,743.7250090001726,0.0625,0.0624999962747097,0.3,0.008708976209163666
3,analysis_synthesis_conv,2,9.597789764404297,9.597789764404297,0.021484375,0.0234375,744.235923999895,0.0624999962747097,0.0625,0.3,0.008967343717813492
4,analysis_synthesis_conv,2,10.671262741088867,10.671262741088867,0.017578125,0.0244140625,684.2197139999371,0.0625,0.0624999925494194,0.3,0.009031437337398529
